"ID","SampleName","Tree_Type","Rhizosphere_Manipulation","Substrate_Type","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil","Microbial_Group"
103,"10.02.1","G","1","S",3,"18:3n6",0,0.637,-14.758,1.089519,0.7765,5.807,178.46,"fungi"
104,"10.02.1","G","1","S",3,"trans-18:1n9",0,18.546,-9.619,1.09514,0.7697,5.807,4922.47,"gram-bacteria"
105,"10.02.1","G","1","S",3,"18:0",0,17.234,11.741,1.118495,0.7645,5.807,4574.25,"bacteria"
106,"10.02.1","G","1","S",3,"19:0cy",0,63.4,-33.16,1.069387,0.7736,5.807,15986.44,"gram-bacteria"
107,"10.02.1","G","1","S",3,"19:0",0,16.933,-34.419,1.068009,0.8216,5.807,4269.73,"standard"
108,"10.02.1","G","1","S",3,"20:4n6",0,0.784,-23.61,1.079836,0.7919,5.807,188.29,"protozoa"
109,"10.02.3","G","3","S",1,"12:0",0,13.172,-30.958,1.071797,0.7285,6.005,6117.19,"standard"
110,"10.02.3","G","3","S",1,"14:0",0,1.426,-2.527,1.102895,0.7432,6.005,574.03,"bacteria"
111,"10.02.3","G","3","S",1,"a15:0",0,24.547,-11.16,1.093454,0.7494,6.005,9263.36,"gram+bacteria"
112,"10.02.3","G","3","S",1,"15:0",0,2.446,-13.931,1.090423,0.7494,6.005,923.06,"bacteria"
113,"10.02.3","G","3","S",1,"16:1n9/i16:0",0,3.741,80.814,1.193945,0.7606,6.005,1328.73,"bacteria"
114,"10.02.3","G","3","S",1,"16:0",0,34.991,-8.94,1.095883,0.755,6.005,12426.92,"bacteria"
115,"10.02.3","G","3","S",1,"i17:0",0,0.391,-34.175,1.068276,0.76,6.005,131.15,"gram+bacteria"
116,"10.02.3","G","3","S",1,"17:0cy",0,8.818,-24.591,1.078763,0.7654,6.005,2957.76,"gram-bacteria"
117,"10.02.3","G","3","S",1,"17:0",0,7.271,-26.312,1.076879,0.76,6.005,2438.79,"bacteria"
118,"10.02.3","G","3","S",1,"18:3n6",0,0.466,-18.708,1.085198,0.7765,6.005,156.3,"fungi"
119,"10.02.3","G","3","S",1,"trans-18:1n9",0,11.776,-16.319,1.087812,0.7697,6.005,3742.06,"gram-bacteria"
120,"10.02.3","G","3","S",1,"18:0",0,9.549,-5.604,1.099531,0.7645,6.005,3034.39,"bacteria"
121,"10.02.3","G","3","S",1,"19:0cy",0,35.159,-34.012,1.068455,0.7736,6.005,10614.01,"gram-bacteria"
122,"10.02.3","G","3","S",1,"19:0",0,13.445,-33.419,1.069104,0.8216,6.005,4058.89,"standard"
123,"10.02.3","G","3","S",1,"20:4n6",0,0.453,-24.693,1.078651,0.7919,6.005,130.25,"protozoa"
124,"11.06.2","G","2","S",3,"12:0",0,15.588,-31.606,1.071088,0.7285,6.007,6112.97,"standard"
125,"11.06.2","G","2","S",3,"14:0",0,1.905,3.592,1.109586,0.7432,6.007,647.53,"bacteria"
126,"11.06.2","G","2","S",3,"a15:0",0,28.027,1.777,1.107601,0.7494,6.007,8931.14,"gram+bacteria"
127,"11.06.2","G","2","S",3,"15:0",0,2.26,3.545,1.109534,0.7494,6.007,720.18,"bacteria"
128,"11.06.2","G","2","S",3,"16:1n9/i16:0",0,3.852,113.782,1.229915,0.7606,6.007,1155.3,"bacteria"
129,"11.06.2","G","2","S",3,"16:0",0,32.518,2.419,1.108304,0.755,6.007,9751.95,"bacteria"
130,"11.06.2","G","2","S",3,"i17:0",0,2.008,-13.443,1.090958,0.76,6.007,568.72,"gram+bacteria"
131,"11.06.2","G","2","S",3,"17:0cy",0,10.153,-6.25,1.098824,0.7654,6.007,2875.74,"gram-bacteria"
132,"11.06.2","G","2","S",3,"17:0",0,7.814,-16.495,1.087619,0.76,6.007,2213.17,"bacteria"
133,"11.06.2","G","2","S",3,"18:3n6",0,0.501,12.694,1.119536,0.7765,6.007,141.9,"fungi"
134,"11.06.2","G","2","S",3,"trans-18:1n9",0,8.512,12.918,1.119782,0.7697,6.007,2284.05,"gram-bacteria"
135,"11.06.2","G","2","S",3,"18:0",0,7.41,26.387,1.134503,0.7645,6.007,1988.36,"bacteria"
136,"11.06.2","G","2","S",3,"19:0cy",0,38.44,-32.837,1.069741,0.7736,6.007,9799.13,"gram-bacteria"
137,"11.06.2","G","2","S",3,"19:0",0,15.921,-33.195,1.069349,0.8216,6.007,4058.62,"standard"
138,"11.06.2","G","2","S",3,"20:4n6",0,0.651,-6.599,1.098443,0.7919,6.007,158.06,"protozoa"
139,"11.06.2","G","2","S",3,"20:5n3",0,0.408,-26.087,1.077126,0.797,6.007,99.05,"protozoa"
140,"11.10.1","G","1","L",2,"12:0",0,13.502,-30.343,1.072469,0.7285,6.056,5931.79,"standard"
141,"11.10.1","G","1","L",2,"14:0",0,1.709,0.839,1.106576,0.7432,6.056,650.78,"bacteria"
