"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C"
258,"12.01.2","3 ul","17:0",0,8.9,-25.239,1.078054,"0.76"
259,"12.01.2","3 ul","18:3n6",0,0.777,-25.569,1.077692,"0.7765"
260,"12.01.2","3 ul","trans-18:1n9",0,11.851,28.499,1.13681,"0.7697"
261,"12.01.2","3 ul","18:0",0,8.499,66.287,1.178086,"0.7645"
262,"12.01.2","3 ul","19:0cy",0,43.443,-24.802,1.078532,"0.7736"
263,"12.01.2","3 ul","19:0",0,15.959,-31.251,1.071476,"0.8216"
264,"12.01.2","3 ul","20:4n6",0,1.117,-20.241,1.083522,"0.7919"
265,"12.01.2","3 ul","20:5n3",0,2.632,-29.655,1.073222,"0.797"
266,"12.01.3","2.5 ul","12:0",0,14.104,-30.967,1.071786,"0.7285"
267,"12.01.3","2.5 ul","14:0",0,1.372,-10.497,1.094179,"0.7432"
268,"12.01.3","2.5 ul","a15:0",0,27.336,-22.185,1.081394,"0.7494"
269,"12.01.3","2.5 ul","15:0",0,3.096,-11.788,1.092768,"0.7494"
270,"12.01.3","2.5 ul","16:1n9/i16:0",0,3.725,6.103,1.112332,"0.7606"
271,"12.01.3","2.5 ul","16:0",0,32.428,46.986,1.157008,"0.755"
272,"12.01.3","2.5 ul","i17:0",0,3.838,-34.079,1.068381,"0.76"
273,"12.01.3","2.5 ul","17:0cy",0,7.943,-25.255,1.078036,"0.7654"
274,"12.01.3","2.5 ul","17:0",0,5.945,-25.063,1.078246,"0.76"
275,"12.01.3","2.5 ul","18:3n6",0,0.477,-14.033,1.090312,"0.7765"
276,"12.01.3","2.5 ul","trans-18:1n9",0,11.433,15.89,1.12303,"0.7697"
277,"12.01.3","2.5 ul","18:0",0,7.676,54.468,1.16518,"0.7645"
278,"12.01.3","2.5 ul","19:0cy",0,31.285,-28.578,1.0744,"0.7736"
279,"12.01.3","2.5 ul","19:0",0,13.546,-31.688,1.070997,"0.8216"
280,"12.01.3","2.5 ul","20:4n6",0,0.554,-37.611,1.064516,"0.7919"
281,"12.01.3","2.5 ul","20:5n3",0,0.855,-33.568,1.06894,"0.797"
282,"12.05.2","3 ul","12:0",0,15.94,-30.573,1.072217,"0.7285"
283,"12.05.2","3 ul","14:0",0,1.189,54.166,1.16485,"0.7432"
284,"12.05.2","3 ul","a15:0",0,15.971,30.037,1.138491,"0.7494"
285,"12.05.2","3 ul","15:0",0,1.31,50.495,1.16084,"0.7494"
286,"12.05.2","3 ul","16:1n9/i16:0",0,0.215,31.062,1.139611,"0.7606"
287,"12.05.2","3 ul","16:0",0,17.082,352.975,1.490113,"0.755"
288,"12.05.2","3 ul","i17:0",0,1.778,-40.914,1.060902,"0.76"
289,"12.05.2","3 ul","17:0cy",0,5.454,14.448,1.121454,"0.7654"
290,"12.05.2","3 ul","17:0",0,4.679,13.109,1.11999,"0.76"
291,"12.05.2","3 ul","18:3n6",0,0.443,34.511,1.14338,"0.7765"
292,"12.05.2","3 ul","18:2n9,12 and cis-18:1n9 and 183n3",0,4.688,266.594,1.396305,"0.775"
293,"12.05.2","3 ul","18:0",0,3.484,548.84,1.702158,"0.7645"
294,"12.05.2","3 ul","19:0cy",0,15.827,18.456,1.125835,"0.7736"
295,"12.05.2","3 ul","19:0",0,16.01,-29.087,1.073844,"0.8216"
296,"12.05.2","3 ul","20:5n3",0,3.453,-32.887,1.069686,"0.797"
297,"12.05.3","2.5 ul","12:0",0,12.291,-42.653,1.058998,"0.7285"
298,"12.05.3","2.5 ul","14:0",0,0.866,-13.505,1.09089,"0.7432"
299,"12.05.3","2.5 ul","a15:0",0,14.038,-22.808,1.080713,"0.7494"
300,"12.05.3","2.5 ul","15:0",0,1.857,-13.41,1.090994,"0.7494"
301,"12.05.3","2.5 ul","16:1n9/i16:0",0,1.378,34.863,1.143764,"0.7606"
302,"12.05.3","2.5 ul","16:0",0,12.621,65.216,1.176916,"0.755"
303,"12.05.3","2.5 ul","i17:0",0,3.614,-31.863,1.070806,"0.76"
